common_system	common_subtype	subtype	min_gene	tool	
Abi	Abi	ABI	NA	pads	
2TM_1TM_TIR	2TM_1TM_TIR	Rst_2TM_1TM_TIR	3	defensefinder	
3HP	3HP	Rst_3HP	3	defensefinder	
Abi2	Abi2	Abi2	1	defensefinder	
AbiA	AbiA_large	AbiA_large	1	defensefinder	
AbiA	AbiA_small	AbiA_small	2	defensefinder	
AbiA	AbiA	AbiA	NA	defensefinder	
AbiB	AbiB	AbiB	1	defensefinder	
AbiC	AbiC	AbiC	1	defensefinder	
AbiD	AbiD	AbiD	1	defensefinder	
AbiE	AbiE	AbiE	2	defensefinder	
AbiG	AbiG	AbiG	2	defensefinder	
AbiH	AbiH	AbiH	1	defensefinder	
AbiI	AbiI	AbiI	1	defensefinder	
AbiJ	AbiJ	AbiJ	1	defensefinder	
AbiK	AbiK	AbiK	1	defensefinder	
AbiL	AbiL	AbiL	2	defensefinder	
AbiN	AbiN	AbiN	1	defensefinder	
AbiO	AbiO	AbiO	1	defensefinder	
AbiP2	AbiP2	AbiP2	1	defensefinder	"considered part of DRT_type_I in padloc, but going to leave separate for now, turns out, AbiP2 is a reverse transcriptase (hence its inclusion in DRT by padloc). Leaving separate for now, but wil look into during refinement of systems in SAGs since padloc might say ""DRT"" and df might say ""AbiP2"" but both have the AbiP2 gene)"
AbiQ	AbiQ	AbiQ	1	defensefinder	
AbiR	AbiR	AbiR	3	defensefinder	absent in padloc
AbiT	AbiT	AbiT	2	defensefinder	
AbiU	AbiU	AbiU	1	defensefinder	
AbiV	AbiV	AbiV	1	defensefinder	
AbiZ	AbiZ	AbiZ	1	defensefinder	
Aditi	Aditi	Aditi	2	defensefinder	absent in padloc
ApeA	ApeA	Gao_Ape	1	defensefinder	"called ApeA in padloc, both require one gene"
AVAST	AVAST_type_I_other	AVAST_I	2	defensefinder	DF numbers correspond to AVAST_type_I_other  in which only 2 of the 3 genes are required
AVAST	AVAST_type_II	AVAST_II	1	defensefinder	
AVAST	AVAST_type_III	AVAST_III	2	defensefinder	
AVAST	AVAST_type_IV	AVAST_IV	1	defensefinder	
AVAST	AVAST_type_V	AVAST_V	1	defensefinder	
AVAST	AVAST	AVAST	NA	defensefinder	
Azaca	Azaca	Azaca	3	defensefinder	absent in padloc
Borvo	Borvo	Borvo	1	defensefinder	absent in padloc
BREX	BREX_df	BREX	3	defensefinder	"tricky, requires 3 genes while padloc requires 2, genes somewhat overlap, but instances of BREX come up as DMS_other in padloc, so going to keep separate and add df label to distinguish"
BREX	BREX_type_I	BREX_I	3	defensefinder	"df requires 3  genes(BrxZ,BrxL, and an accessory (C,A,B,orX)) but padloc requires 6 (BrxA,B,C,X,Z,L), just going to call same"
BREX	BREX_type_II	BREX_II	3	defensefinder	"df only requires 3 genes (Z,W + accessory(Y,D,X)), but padloc requires 6 (W,X,C,Z,D,H) - calling same even though Y missing from padloc set and C and H there"
BREX	BREX_type_III	BREX_III	3	defensefinder	"df only requires 3 of core genes (Z,F,H,X) ;(acc C,Y,A,), while padloc requires (A,C,F,X,H,Z)"
BREX	BREX_type_IV	BREX_IV	2	defensefinder	"df only requires 2 genes and 2 of core ( Y,L,P) (acc: C,Z,);  padloc requires 5 genes: C,L,P,Z - missing Y"
BREX	BREX_type_V	BREX_V	4	defensefinder	"df requires 4 total, 2 core (Z,HII; acc: C,Y,A,B,X); padloc requires 6 (A,B,C,HII,X,Z) - no Y"
