genome	system	instances
AM-259-C19	PfiAT	1
AM-259-C20	AbiU	1
AM-259-C20	RM	2
AM-259-D06	AbiU	1
AM-259-D13	AbiU	1
AM-259-D13	RM	2
AM-259-D20	RM	1
AM-259-D21	AbiU	1
AM-259-D23	AbiU	1
AM-259-E06	PsyrTA	1
AM-259-E08	AbiU	1
AM-259-F08	RM	1
AM-259-F11	ShosTA	1
AM-259-F11	RM	1
AM-259-F14	RM	1
AM-259-F17	RM	1
AM-259-F22	AbiU	1
AM-259-F22	RM	2
AM-259-I03	AbiU	1
AM-259-I08	PsyrTA	1
AM-259-I14	PD-Lambda-1	1
AM-259-I14	BREX	1
AM-259-I14	RM	1
AM-259-I15	RM	1
AM-259-I16	PsyrTA	1
AM-259-I19	AbiU	1
AM-259-J04	RM	2
AM-259-J16	AbiU	1
AM-259-J17	PD-Lambda-1	1
AM-259-J17	RM	1
AM-259-J19	AbiU	1
AM-259-J23	AbiU	1
AM-259-K04	Retron	1
AM-259-K04	RM	1
AM-259-K05	dXTPase	1
AM-259-K05	RM	2
AM-259-K05	Cas	1
AM-259-K07	dXTPase	1
AM-259-K07	PfiAT	1
AM-259-K07	BREX	1
AM-259-K07	Cas	1
AM-259-K11	RM	1
AM-259-K15	AbiU	1
AM-259-K17	AbiU	1
AM-259-K17	Lamassu	1
AM-259-K21	RM	1
AM-259-K22	Azaca	1
AM-259-K22	Zorya	1
AM-259-K22	RM	1
AM-259-L05	AbiU	1
AM-259-L05	Retron	1
AM-259-L05	Tiamat	1
AM-259-L06	AbiU	1
AM-259-L06	RM	2
AM-259-L10	Lamassu	1
AM-259-L15	RM	4
AM-259-M06	AbiU	1
AM-259-M07	AbiU	1
AM-259-M19	RM	1
AM-259-N02	AbiU	1
AM-259-N08	Dpd	1
AM-259-N11	RM	1
AM-259-N18	AbiU	1
AM-259-N22	AbiU	1
AM-259-N22	RM	1
AM-259-O02	RM	1
AM-259-O06	AbiU	1
AM-259-O06	RM	1
AM-259-O14	AbiU	1
AM-259-O14	Dnd	1
AM-259-O15	Azaca	1
AM-259-O15	RM	2
AM-259-O16	AbiU	1
AM-259-O20	RM	3
AM-259-P09	AbiU	1
AM-259-P10	RM	1
AM-259-P14	AbiU	1
AM-259-P18	RM	1
AM-262-A01	AbiU	1
AM-262-A04	RM	1
AM-262-A07	Dpd	1
AM-262-A18	AbiU	1
AM-262-A19	RM	1
AM-262-A21	dXTPase	1
AM-262-B03	AbiU	1
AM-262-B08	PsyrTA	1
AM-262-B08	RM	1
AM-262-C10	AbiU	1
AM-262-C17	RM	1
AM-262-C21	Retron	1
AM-262-C21	RM	1
AM-262-D02	RM	1
AM-262-D05	AbiU	1
AM-262-D05	Cas	1
AM-262-D18	AbiU	1
AM-262-D19	RM	1
AM-262-D21	RM	1
AM-262-E03	Azaca	1
AM-262-E20	RM	3
AM-262-F08	RM	1
AM-262-F16	AbiU	1
AM-262-F20	RM	1
AM-262-G05	BREX	1
AM-262-G05	RM	1
AM-262-G06	AbiU	1
AM-262-G17	AbiU	2
AM-262-G17	RM	2
AM-262-I04	RM	1
AM-262-J08	pAgo	1
AM-262-J15	RM	1
AM-262-J20	AbiU	1
AM-262-K03	AbiU	1
