genome	dataset	cell_diameter_micron	sag_length	completeness	ssu_classification	estimated_length	plate	Domain	Phylum	Class	Order	Family	Genus	Species	Latitude	Longitude	Ocean	Depth	niche_latest	doubling_hours	nonviral_length	viral_length	total_length	prop_viral_length	nonviral_contigs	viral_contigs	total_contigs	prop_viral_contigs	virpres	num_prots	cds_length	defense_genes	defense_gene_sumlen	prop_def_prot	prop_def_lens	pa_fl	AbiU	RM	PsyrTA	dXTPase	Cas	PfiAT	BREX	Lamassu	Retron	Tiamat	SoFic	Eleos	AVAST	ShosTA	AbiE	PD-T4-3	Zorya	Uzume	DarTG	Dpd	DISARM	Azaca	AbiZ	PD-T7-3	PrrC	Mokosh	Viperin	Druantia	AbiD	AbiP2	Dsr	RosmerTA	Shango	CBASS	Pycsar	pAgo	Hhe	PD-Lambda-1	Septu	RL	RloC	Dnd	PD-T7-1	DRT	ApeA	Gabija	Hachiman	SanaTA	Borvo	Kiwa	Wadjet	PARIS	AbiL	TerY	Sefir	PD-T4-4	PD-T7-2	NLR	Qat	PD-T7-4	CapRel	Shedu	Tmn	Ppl	PD-T4-8	PD-T7-5	SspBCDE	Menshen	Thoeris	AbiV	RnlAB	AbiJ	MqsRAC	Mza	PbeABCD	Hma	Her	GAO_29	Pif	Iet	Hydrolase_TM	totaldefenses	defpres	sys_types	sub_types
AG-313-A03	Tropics	<0.5	779538	55	no SSU regions found	1417341.8181818181	AG-313	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86	D2472	SAR86A	Unknown	-20.08	-70.8	Southern_Atlantic	20	EPI	7.73232880115623	779538	0	779538	0	37	0	37	0	no	826	754950	0	0	0	0	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	no	NA	NA
AG-313-A04	Tropics	<0.5	959028	92	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_2;g__?;s__?	1042421.7391304347	AG-313	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Pelagibacter_A	Pelagibacter_A sp003284275	-20.08	-70.8	Southern_Atlantic	20	EPI	9.29607259787518	959028	0	959028	0	19	0	19	0	no	1024	929664	4	4053	0.00390625	0.0043596396117306	Unknown	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	yes	1	1
AG-313-A07	Tropics	<0.5	2592520	70	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__OM75_clade;s__?	3703600.0000000005	AG-313	Bacteria	Proteobacteria	Alphaproteobacteria	Thalassobaculales	Thalassobaculaceae	UBA7326	UBA7326 sp003284265	-20.08	-70.8	Southern_Atlantic	20	EPI	14.2332277765731	2592520	0	2592520	0	132	0	132	0	no	2514	2364234	0	0	0	0	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	no	NA	NA
AG-313-A10	Tropics	<0.5	1049113	52	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__SAR86_clade;g__?;s__?	2017525.0	AG-313	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86	D2472	D2472	D2472 sp902509555	-20.08	-70.8	Southern_Atlantic	20	EPI	19.9045862023407	1049113	0	1049113	0	53	0	53	0	no	1084	1011642	0	0	0	0	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	no	NA	NA
AG-313-A11	Tropics	<0.5	583744	57	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Surface_1;g__?;s__?	1024112.2807017545	AG-313	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Pelagibacter	Pelagibacter sp902509725	-20.08	-70.8	Southern_Atlantic	20	EPI	6.77829544544429	583744	0	583744	0	35	0	35	0	no	651	563766	1	1119	0.0015360983102918	0.001984866061451	Unknown	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	yes	1	1
AG-313-A14	Tropics	<0.5	1006375	67	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__AEGEAN-169_marine_group;s__?	1502052.23880597	AG-313	Bacteria	Proteobacteria	Alphaproteobacteria	HIMB59	HIMB59	HIMB59	HIMB59 sp902509695	-20.08	-70.8	Southern_Atlantic	20	EPI	14.4587073734084	1006375	0	1006375	0	42	0	42	0	no	1107	968364	2	2070	0.001806684733514	0.0021376259340495	Unknown	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	yes	1	1
AG-313-A15	Tropics	<0.5	1075695	57	no SSU regions found	1887184.210526316	AG-313	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	MED-G13	MED-G13 sp902509675	-20.08	-70.8	Southern_Atlantic	20	EPI	13.8563514586852	1075695	0	1075695	0	53	0	53	0	no	988	1035294	2	1932	0.0020242914979757	0.0018661365756973	Unknown	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	yes	1	1
AG-313-B04	Tropics	0.51	1678978	62	no SSU regions found	2708029.0322580645	AG-313	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	UBA10066	GCA-2716065	Unknown	-20.08	-70.8	Southern_Atlantic	20	EPI	13.8526538072507	1635033	43945	1678978	0.0261736604053179	94	2	96	0.0208333333333333	yes	1487	1603902	5	5469	0.0033624747814391	0.0034098093275025	Unknown	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	yes	2	2
AG-313-B09	Tropics	<0.5	1877358	63	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__?;s__?	2979933.3333333335	AG-313	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	GCA-002712045	GCA-002712045 sp002683355	-20.08	-70.8	Southern_Atlantic	20	EPI	21.1040826965431	1877358	0	1877358	0	80	0	80	0	no	1843	1740891	2	2172	0.0010851871947911	0.0012476369858882	Unknown	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	yes	1	1
AG-313-B13	Tropics	<0.5	1146981	57	no SSU regions found	2012247.3684210528	AG-313	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	MED-G13	MED-G13 sp902509675	-20.08	-70.8	Southern_Atlantic	20	EPI	15.1015725715577	1146981	0	1146981	0	64	0	64	0	no	1074	1101360	2	1932	0.0018621973929236	0.0017541948136848	Unknown	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	yes	1	1
