genome	subtype	instances
AG-895-P22	Pycsar	1
AG-911-O02	RM_type_II	1
AG-911-O05	RM_type_II	1
AG-911-O05	RM_type_IIG	1
AG-911-O06	RM_type_I	1
AG-911-K07	RM_type_II	1
AG-911-K13	RM_type_II	1
AG-911-K15	RM_type_II	2
AG-911-L03	RM_type_II	1
AG-911-L10	RM_type_II	2
AG-911-M04	RM_type_I	1
AG-911-M11	RM_type_I	1
AG-895-F09	PsyrTA	1
AG-911-N03	RM_type_I	1
AG-911-N10	Zorya_type_I	1
AG-895-O20	PsyrTA	1
AG-895-O22	RM_type_I	1
AG-893-O06	RM_type_IV	1
AG-893-P10	RM_type_I	1
AG-893-P23	RM_type_IV	1
AG-894-A02	PD-Lambda-1	1
AG-894-A06	Eleos	1
AG-894-A11	RM_type_I	1
AG-894-A16	RM_type_IV	1
AG-894-B20	ShosTA	1
AG-894-B21	RM_type_IV	1
AG-894-C07	Eleos	1
AG-894-C07	RM_type_II	1
AG-893-L07	RM_type_I	1
AG-893-L10	RM_type_II	1
AG-893-L13	RM_type_I	1
AG-893-L15	RM_type_II	1
AG-893-M17	Zorya_type_II	1
AG-893-M20	RM_type_IIG	1
AG-894-D15	Eleos	1
AG-894-D21	RM_type_II	1
AG-894-D22	PD-T4-3	1
AG-894-E11	RM_type_IIG	1
AG-894-F23	RM_type_I	1
AG-894-G02	Eleos	1
AG-894-G07	RM_type_IV	1
AG-894-G11	RM_type_II	1
AG-894-I05	RM_type_I	1
AG-894-I10	RM_type_I	1
AG-894-I22	RM_type_I	1
AG-894-K15	RM_type_III	1
AG-894-C11	RM_type_IV	1
AG-894-D13	Zorya_type_II	2
AG-895-N02	RM_type_IV	1
AG-895-G05	RM_type_IV	1
AG-895-G08	Pycsar	1
AG-895-I03	Zorya_type_I	1
AG-895-I11	RM_type_III	1
AG-895-I14	RM_type_II	2
AG-895-I15	RM_type_I	1
AG-895-J03	RM_type_II	1
AG-895-J07	RM_type_I	1
AG-895-J23	RM_type_I	1
AG-895-E08	RM_type_I	1
AG-894-M09	RM_type_IV	1
AG-894-M09	RM_type_II	1
AG-894-M09	RM_type_I	1
AG-894-N08	RM_type_I	1
AG-894-N09	RM_type_I	1
AG-894-N13	RM_type_III	1
AG-894-N17	RM_type_II	2
AG-894-P05	PsyrTA	1
AG-894-P08	RM_type_I	1
AG-894-P21	RM_type_IIG	1
AG-894-P23	RM_type_IIG	1
AG-895-A04	RM_type_I	1
AG-895-C20	RM_type_IIG	1
AG-343-M06	RM_type_I	1
AG-349-C08	Retron_type_XIII	1
AG-349-C08	RM_type_IV	1
AG-359-D22	PD-T4-3	1
AG-359-L17	RM_type_II	1
AG-360-E03	RM_type_I	1
AG-360-M05	SoFic	1
AG-360-M05	RM_type_IIG	1
AG-360-P16	Zorya_type_II	1
AG-365-O04	RM_type_IIG	1
AG-390-E05	RM_type_II	1
AG-390-K18	RM_type_II	1
AG-404-D10	RM_type_II	1
AG-404-D10	RM_type_III	1
AG-404-P10	Cas_Class1_TypeIII_subtypeB	1
AG-404-P10	Cas_cluster	1
AG-422-O15	RM_type_I	1
AG-426-C10	RM_type_I	1
AG-426-C15	RM_type_III	1
AG-426-F20	RM_type_II	2
AG-426-F20	RM_type_IIG	1
AG-430-L03	RM_type_II	1
AG-430-O16	RM_type_II	1
AG-435-C04	Hachiman_type_I	1
AG-439-C22	RM_type_II	1
AG-439-O23	Retron_type_X	1
AG-447-I22	RM_type_II	1
AG-447-L18	Druantia_type_I	1
AG-447-O13	PD-T4-3	1
AG-457-L20	RM_type_IIG	1
AG-457-L21	RM_type_IV	1
AG-461-F22	Cas_Class2_TypeII_subtypeC	1
AG-461-K18	Eleos	1
AG-464-B22	RM_type_II	1
AG-464-G03	RM_type_IIG	1
AG-464-G03	RM_type_II	2
AG-464-G04	RM_type_II	1
AG-464-P19	RM_type_II	1
AG-470-G19	RM_type_I	1
AG-891-G05	RM_type_I	1
AG-891-G06	RM_type_II	3
AG-896-B07	RM_type_IIG	1
AG-896-C14	PsyrTA	1
AG-896-D21	Zorya_type_II	1
AG-896-E02	Eleos	1
AG-896-F14	DRT_type_VIII	1
AG-896-F15	Eleos	1
AG-896-F15	RM_type_II	1
AG-896-G07	RM_type_I	1
AG-896-G16	RM_type_II	1
AG-896-G19	PD-Lambda-1	1
AG-896-G20	RM_type_I	1
AG-896-G21	RM_type_IIG	1
AG-896-G21	RM_type_II	1
AG-896-J19	RM_type_I	1
AG-896-K13	RM_type_II	1
AG-896-K13	RM_type_I	1
AG-896-K16	DRT_type_VIII	1
AG-896-K16	RM_type_I	1
AG-896-L16	RM_type_I	1
AG-896-L20	RM_type_IV	1
AG-896-M02	RM_type_II	1
AG-896-M03	RM_type_III	1
AG-896-M10	RM_type_II	2
AG-896-O16	RM_type_II	2
AG-896-O19	PsyrTA	1
AG-896-P11	RM_type_I	1
AG-897-A02	RM_type_I	1
AG-897-B03	Eleos	1
AG-897-B03	RM_type_IIG	1
AG-897-D02	Eleos	1
AG-897-D05	RM_type_I	1
AG-897-D19	Eleos	1
AG-897-D21	Eleos	1
AG-897-D21	RM_type_II	1
AG-897-D21	RM_type_IIG	1
AG-897-G09	RM_type_IIG	1
AG-897-G20	RM_type_I	1
AG-897-I16	RM_type_II	2
AG-897-J18	RM_type_II	1
AG-897-K16	Zorya_type_I	1
AG-897-K19	RM_type_III	1
AG-897-L14	Wadjet_type_I	1
AG-897-M05	Zorya_type_II	1
AG-897-M05	RM_type_I	1
AG-897-M10	Wadjet_type_I	1
AG-897-M10	Cas_Class2_TypeII_subtypeC	1
AG-897-M14	RM_type_IIG	1
AG-897-N06	RM_type_IV	1
AG-897-O11	RM_type_I	1
AG-897-O14	ShosTA	1
AG-897-O14	RM_type_IV	1
AG-897-O19	PsyrTA	1
AG-897-O19	RM_type_II	1
AG-897-P02	RM_type_I	1
