genome,Sample,Sample feature,FACS mode,Estimated cell diameter (μm),WGA-X Cp (h),Raw read count,Assembly size (Mbp),Final contigs count,Max contig length,GC content (%),Genome completeness (%),Estimated genome size (Mbp)
AG-313-A02,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,2.065997585,444189,58014,19,5370,38,0,
AG-313-A03,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.394515345,3229645,779538,37,93990,32,55,1.42
AG-313-A04,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.353980696,19107364,959028,19,288767,30,92,1.04
AG-313-A06,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,2.09493331,464123,169305,34,11369,29,15,
AG-313-A07,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.361345207,7256477,2592520,132,130260,42,70,3.7
AG-313-A08,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,2.130037457,398090,41348,9,8996,38,4,
AG-313-A10,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.508688558,3140191,1049113,53,133778,36,52,2.02
AG-313-A11,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.723185177,293201,583744,35,64299,29,57,1.02
AG-313-A13,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.839728981,563057,348100,36,39782,30,29,
AG-313-A14,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.580599912,2958518,1006375,42,137844,31,67,1.5
AG-313-A15,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.535792986,3209953,1075695,53,75606,31,57,1.89
AG-313-A16,SWC-01,Oxygenated surface water,Syto9-Prok,0.62,1.855238928,243009,71371,11,22277,40,0,
AG-313-A17,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.626986459,3793102,465795,40,49054,32,24,
AG-313-A18,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,2.227350713,529408,210342,33,14113,30,15,
AG-313-A19,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,2.075363007,424215,40145,6,13339,29,0,
AG-313-A20,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.52125579,3466661,741346,50,61763,36,33,
AG-313-A22,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.806076352,318834,421064,42,32057,29,35,
AG-313-A23,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.686512596,3732232,294131,23,48527,31,4,
AG-313-B02,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,2.094178492,508633,223112,44,18503,30,0,
AG-313-B04,SWC-01,Oxygenated surface water,Syto9-Prok,0.51,1.498658585,3497985,1678978,96,79039,34,62,2.71
AG-313-B05,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.514585066,3555491,1041591,45,87993,36,46,
AG-313-B08,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,2.283255575,607106,43654,10,10631,30,6,
AG-313-B09,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.470483101,3515044,1877358,80,165776,38,63,2.98
AG-313-B10,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.837025323,451087,408118,32,50107,29,15,
AG-313-B11,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,2.239872634,427026,77569,9,14306,30,0,
AG-313-B13,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.588687513,3140193,1146981,64,105965,31,57,2.01
AG-313-B14,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,2.503772694,335826,37272,10,8171,39,0,
AG-313-B15,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.92305856,278435,143332,21,18343,28,0,
AG-313-B16,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,2.666751652,485042,30629,10,4858,30,0,
AG-313-B18,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.86369664,305121,178591,25,17844,33,0,
AG-313-B19,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.833677472,337402,234829,23,24663,29,17,
AG-313-B20,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.655436802,484157,691593,41,165135,30,50,1.38
AG-313-B21,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.812522225,319149,343737,38,39545,29,23,
AG-313-B22,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.496497034,263285,776224,31,101839,30,58,1.34
AG-313-C02,SWC-01,Oxygenated surface water,Syto9-Prok,<0.5,1.860386544,694566,220842,40,15538,30,16,
